Genes	log2FoldChange
BNIP3	3.300496088
WFS1	2.788865319
SNAP25	8.20874001
SH3BP5	3.64788049
CCDC92	2.226510719
MCM3	-2.694461361
SOX2	-2.312406699
CALU	-2.854786757
CLTB	2.338485921
G3BP1	-1.849417805
DNMT1	-2.23383407
PRAF2	1.639726428
HSPA1A	3.997167571
ALDOA	2.373854261
ANXA7	1.878637482
STXBP1	5.095259022
RUVBL1	-1.956131651
CORO1A	5.169509379
PRCP	-2.094889481
DNM1	5.027025593
TERF2IP	2.013910225
B3GNT1	2.621257067
WDR7	2.211230808
REEP5	1.966093362
MAPK9	2.549639326
UBQLN2	1.716203376
GNA11	-1.596748105
CDK4	-1.869508046
PAFAH1B1	1.508752481
ETV1	-3.41728627
USP1	-1.677392724
BLCAP	2.193572889
SMC4	-4.766735884
PGAM1	2.722132852
DNAJB2	2.404447472
NISCH	1.796942585
COPS7A	1.418614711
DUSP22	1.76903216
SYNGR3	5.799960517
ATP1B1	5.329795487
ATP6V1D	1.767804904
MYLK	4.431004242
CSNK2A2	-1.628435595
PAK1	5.664411575
LAGE3	1.650703435
RAP1GAP	3.160705015
HEATR1	-2.255979983
ABHD6	2.260145204
MLEC	-1.14169054
MSH6	-1.734878506
KIAA1279	1.677127722
STX1A	4.195004272
KIF5C	3.781856293
CALM3	3.124982057
SKP1	0.972284336
CRK	-1.249353951
HMG20B	-2.38609255
CDK5R1	3.734965789
SLC25A4	2.462820778
SLC2A6	3.027070605
PRKCD	4.275060883
NUP88	-1.186596428
CISD1	2.132099025
PCNA	-2.487474251
IKBKB	-1.287718315
KDELR2	-1.707746168
HPRT1	2.981420213
SMARCC1	-1.897462925
SIRT3	1.115197272
TIAM1	2.710117422
PLA2G15	1.502995453
PCMT1	1.849857155
COPB2	-1.132727577
CHN1	3.601152881
SLC1A4	2.265043163
EZH2	-6.337173658
CPSF4	-1.264322035
CLSTN1	2.592458077
TRIM2	2.231487275
CTSD	1.666532019
NT5DC2	-2.869839454
PTPN12	-1.394188432
MBNL2	2.867330028
HK1	2.935534846
ZNF131	-0.996378623
LRPAP1	1.288585908
NOLC1	1.079599133
ATP6V0B	1.197853414
MTA1	-1.48039881
PAICS	-1.476165732
CDC25B	-1.67096625
NUSAP1	-7.07359094
