Genes	log2FoldChange
EZH2	-6.143323517
NUSAP1	-6.963810256
EXT1	-5.480848385
KIF14	-8.813052265
TOP2A	-9.197501052
KIF20A	-9.106410158
CENPE	-5.570702565
SMC4	-4.785227335
MELK	-8.662934361
CRK	-4.616924892
HOXA10	-9.090814541
CDC45	-8.98436368
PDIA5	-6.043258601
MAT2A	-4.574681454
AURKB	-8.079162484
ATP1B1	6.005742426
MYBL2	-9.120095374
PLK1	-4.729751696
BUB1B	-6.874579009
TBPL1	-3.494721342
HAT1	-4.943753898
UBE2C	-9.142887685
CALU	-2.719604625
CCNA2	-5.311050411
KCNK1	5.527776047
AURKA	-4.368969092
CSNK1A1	-4.13996491
KIF2C	-6.256377031
KIF5C	4.010476164
CDK2	-3.712722981
CDK1	-5.782278353
CCNB1	-3.301471028
SSBP2	-3.074474166
MSH6	-3.546897914
CNOT4	-2.569247388
CCNB2	-7.563964074
HSPA1A	4.272251649
MBNL1	-2.882160462
CASK	-3.353520444
CSNK2A2	-2.747704517
TCERG1	-2.635562626
B3GNT1	3.44542808
EIF5	-4.35830169
HLA-DRA	4.663759727
HMGA2	-7.653507668
MCM3	-2.301380674
SUZ12	-2.731440948
MTF2	-2.578573437
CORO1A	5.010311718
BNIP3	2.686005552
CLTB	3.453249212
ST6GALNAC2	-4.431966661
CDK6	-4.16916771
CLSTN1	3.293849682
CDC25A	-3.401919991
ALDOC	5.981949199
PPP2R5E	-3.394574548
WFS1	3.610038855
SOX4	-3.244951798
SYNGR3	5.671839153
RBM6	-2.043911685
