Genes	log2FoldChange
BNIP3	2.8195586
G3BP1	-2.301782363
SOX2	-2.757414348
CALU	-2.768276017
DNMT1	-2.34331165
STXBP1	4.413732766
MBNL2	2.821842926
PCNA	-3.112763958
PAICS	-2.174767881
CORO1A	3.524000066
HSPA1A	3.308387828
KDM5A	-1.691047894
STX1A	3.916280418
PAK1	3.973850543
ETV1	-3.501770095
DFFA	-1.797176087
HEATR1	-2.425627596
CPSF4	-1.793879561
MCM3	-3.177201792
SYNGR3	6.918270539
PTPN12	-1.98311051
MSH6	-2.274612388
KDELR2	-1.915535596
GNA11	-1.874353793
CALM3	2.799646464
NCAPD2	-2.693002333
ZFP36	3.942587725
SMC1A	-2.008755762
RUVBL1	-2.461450812
METRN	-2.573318873
DNM1	4.316000604
PGAM1	1.897429338
CLTB	1.568187775
SNAP25	6.355344571
HSD17B10	-1.628395256
LSM5	-2.096325254
CHN1	3.472092796
MAPK9	1.928527991
RTN2	3.218842699
B3GNT1	2.474947867
AKT1	-1.44450467
TERF2IP	1.609321223
MAPKAPK5	-1.14627218
MYLK	3.21154909
COPB2	-1.331802837
PIK3CA	-2.021614669
USP1	-2.426153986
HMG20B	-2.382996826
HIF1A	-2.320086489
CSRP1	2.908384899
PDS5A	-1.004795113
IL4R	7.53442209
